Autauga,Alabama,1502153,59095,,,,,,,,,,,,,,
Baldwin,Alabama,7830237,239294,264,16,0,0,0,0,61,48,35,0,0,221,59,0
Barbour,Alabama,709459,24964,,,,,,,,,,,,,,
Bibb,Alabama,392249,22477,,,,,,,,,,,,,,
Blount,Alabama,997835,59041,,,,,,,,,,,,,,
Bullock,Alabama,236820,10320,,,,,,,,,,,,,,
Butler,Alabama,652486,18884,,,,,,,,,,,,,,
Calhoun,Alabama,4245199,115972,,,,,,,,,,,,,,
Chambers,Alabama,844188,34541,,,,,,,,,,,,,,
Cherokee,Alabama,533432,24996,,,,,,,,,,,,,,
Chilton,Alabama,1001475,45274,,,,,,,,,,,,,,
Choctaw,Alabama,501532,12533,,,,,,,,,,,,,,
Clarke,Alabama,761922,22760,,,,,,,,,,,,,,
Clay,Alabama,434129,14190,101,9,0,0,0,0,67,47,27,0,0,0,110,0
Cleburne,Alabama,298888,15103,,,,,,,,,,,,,,
Coffee,Alabama,1403123,54174,,,,,,,,,,,,,,
Colbert,Alabama,2444622,57474,,,,,,,,,,,,,,
Conecuh,Alabama,457634,11328,,,,,,,,,,,,,,
Coosa,Alabama,175564,10450,,,,,,,,,,,,,,
Covington,Alabama,1151784,37524,,,,,,,,,,,,,,
Crenshaw,Alabama,441247,13083,,,,,,,,,,,,,,
Cullman,Alabama,2912833,89496,,,,,,,,,,,,,,
Dale,Alabama,2632339,49342,,,,,,,,,,,,,,
Dallas,Alabama,1061713,37619,,,,,,,,,,,,,,
DeKalb,Alabama,1973395,71813,331,30,0,0,0,0,84,49,36,0,0,320,41,0
Elmore,Alabama,1787108,89304,238,3,0,0,0,0,87,44,32,0,0,241,0,0
Escambia,Alabama,1176856,36699,,,,,,,,,,,,,,
Etowah,Alabama,2596715,103162,253,33,0,0,0,0,77,51,36,0,0,213,73,0
Fayette,Alabama,324913,16148,,,,,,,,,,,,,,
Franklin,Alabama,955433,32013,,,,,,,,,,,,,,
Geneva,Alabama,530408,26701,,,,,,,,,,,,,,
Greene,Alabama,176400,7629,,,,,,,,,,,,,,
Hale,Alabama,221635,14754,,,,,,,,,,,,,,
Henry,Alabama,415374,17459,,,,,,,,,,,,,,
Houston,Alabama,5108440,107458,,,,,,,,,,,,,,
Jackson,Alabama,1394081,52773,,,,,,,,,,,,,,
Jefferson,Alabama,42384437,667820,174,186,3,2,0,0,179,77,51,0,1,83,280,1
Lamar,Alabama,296383,13689,,,,,,,,,,,,,,
Lauderdale,Alabama,2441824,94043,,,,,,,,,,,,,,
Lawrence,Alabama,529939,33090,98,2,0,0,0,0,55,43,21,0,0,0,100,0
Lee,Alabama,5898376,177218,,,,,,,,,,,,,,
Limestone,Alabama,3679491,107517,,,,,,,,,,,,,,
Lowndes,Alabama,372001,9965,,,,,,,,,,,,,,
Macon,Alabama,512801,18895,,,,,,,,,,,,,,
Madison,Alabama,25393993,395211,269,86,2,0,0,0,105,58,41,0,0,119,225,13
Marengo,Alabama,702667,18996,,,,,,,,,,,,,,
Marion,Alabama,822947,29246,,,,,,,,,,,,,,
Marshall,Alabama,3449047,98228,,,,,,,,,,,,,,
Mobile,Alabama,18885760,413073,270,91,0,0,0,0,81,57,44,0,0,78,283,0
Monroe,Alabama,577141,19648,,,,,,,,,,,,,,
Montgomery,Alabama,13020681,227434,294,60,0,0,0,0,93,55,37,0,0,151,203,0
Morgan,Alabama,5327748,123668,293,72,0,0,0,0,96,58,39,0,0,119,246,0
Perry,Alabama,172984,8355,,,,,,,,,,,,,,
Pickens,Alabama,423622,18801,,,,,,,,,,,,,,
Pike,Alabama,1343547,32991,,,,,,,,,,,,,,
Randolph,Alabama,478246,21989,,,,,,,,,,,,,,
Russell,Alabama,1348424,58722,285,76,3,0,0,0,142,60,38,0,0,103,261,0
St. Clair,Alabama,1993244,92748,,,,,,,,,,,,,,
Shelby,Alabama,11270557,226902,231,12,0,0,0,0,77,48,35,0,0,243,0,0
Sumter,Alabama,289861,12164,338,17,0,0,0,0,68,45,29,0,0,166,189,0
Talladega,Alabama,3007315,81524,,,,,,,,,,,,,,
Tallapoosa,Alabama,1299756,41023,,,,,,,,,,,,,,
Tuscaloosa,Alabama,10323162,227007,265,16,0,0,0,0,90,46,31,0,0,204,77,0
Walker,Alabama,1566603,64818,,,,,,,,,,,,,,
Washington,Alabama,754413,15147,,,,,,,,,,,,,,
Wilcox,Alabama,328916,10446,,,,,,,,,,,,,,
Winston,Alabama,728005,23652,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Aleutians East Borough,Alaska,196383,3398,,,,,,,,,,,,,,
Aleutians West Census Area,Alaska,355398,5059,,,,,,,,,,,,,,
Anchorage Municipality,Alaska,20410885,288121,,,,,,,,,,,,,,
Bethel Census Area,Alaska,604118,18557,,,,,,,,,,,,,,
Bristol Bay Borough,Alaska,121530,838,,,,,,,,,,,,,,
Chugach Census Area,Alaska,,6941,,,,,,,,,,,,,,
Copper River Census Area,Alaska,,2630,,,,,,,,,,,,,,
